,Armeria,Colima,Comala,Coquimatlan,Cuauhtemoc,Ixtlahuacan,Manzanillo,Minatitlán,Tecoman,Villa de Álvarez
2000,87.074989723413,95.3947219902025,92.7917525773196,89.41982482005031,93.29870129870129,86.97514995715511,93.8701627813765,89.3978795759152,87.02838722410449,96.5259005626639
2010,89.15,96.19,94.53,91.4,94.34,88.08,94.96,92.3,89.49,97.55
2015,91.0135841170324,96.88485906666781,95.7261724659606,93.74074572620809,96.2125595264587,89.0024330900243,96.20026287489539,93.3083762283575,91.7775956221065,97.9409551544528
2020,92.79847462599,97.47728911903661,96.7102488401518,94.05305915206911,96.08623548922061,92.8538602941177,97.3658990527515,94.7505126452495,92.53979287675111,98.5659324471865
